Gene,Description,Compartment,Treated_v_Control_FC,Treated_v_Control_pval,Treated_v_Control_adjpval
MFF,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.8481,8.056636e-2,1.831782e-1
PINK1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,29.8870,3.189012e-5,4.020928e-4
PRKN,"mitochondrial protein, org=Homo sapiens",Mitochondrion,10.1446,6.326087e-3,2.462504e-2
PHB1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,14.1459,9.964181e-3,3.634733e-2
PHB2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,24.4925,6.591764e-8,3.475657e-6
CS,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.3157,7.187042e-2,1.711427e-1
ACO2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.8663,1.373827e-1,2.805703e-1
IDH2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.3023,7.269726e-3,2.737949e-2
IDH3A,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.9204,1.184462e-2,4.089213e-2
OGDH,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.4014,2.816668e-3,1.247074e-2
SUCLA2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.8551,1.595253e-4,1.321781e-3
SUCLG1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.9601,2.613684e-3,1.193651e-2
FH,"mitochondrial protein, org=Homo sapiens",Mitochondrion,19.3306,1.796420e-6,4.554080e-5
MDH2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.8561,1.788060e-3,8.788771e-3
GOT2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.2276,1.159967e-3,6.346989e-3
GLUD1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.5000,2.373876e-2,7.060758e-2
HADHA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,46.8236,1.026963e-8,9.927312e-7
HADHB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,47.4242,4.396585e-7,1.662949e-5
ACADM,"mitochondrial protein, org=Homo sapiens",Mitochondrion,13.0277,9.915232e-4,5.547239e-3
ACADVL,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.9029,8.656464e-3,3.218429e-2
CPT1A,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.2811,5.741494e-1,7.149686e-1
CPT2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,12.7616,1.609356e-8,1.333467e-6
ETFA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,13.2358,6.773388e-4,4.179325e-3
ETFB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,158.7748,9.314292e-12,2.738134e-9
ETFDH,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.7960,4.041746e-2,1.085284e-1
PDHA1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,18.5013,3.925008e-7,1.626075e-5
PDHB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.0981,2.394595e-5,3.306822e-4
DLAT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,15.1583,6.529832e-4,4.072368e-3
DLD,"mitochondrial protein, org=Homo sapiens",Mitochondrion,14.3665,2.994232e-4,2.170818e-3
MRM2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.9923,9.481584e-2,2.059670e-1
HSD17B8,"mitochondrial protein, org=Homo sapiens",Mitochondrion,18.9236,4.421857e-5,5.234035e-4
COQ7,"mitochondrial protein, org=Homo sapiens",Mitochondrion,9.3718,1.378550e-4,1.158781e-3
AIFM1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.2339,2.044866e-5,2.965055e-4
CYCS,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.5976,4.038631e-5,4.880012e-4
BAX,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.7077,5.830042e-2,1.457511e-1
BAK1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.1768,2.965005e-2,8.429915e-2
GPD2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,38.4960,1.306886e-4,1.131334e-3
NNT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.9910,5.295521e-3,2.075272e-2
SOD2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,19.9979,9.627834e-8,4.653453e-6
PRDX3,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.4902,3.047561e-1,4.802863e-1
TXN2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.4454,5.618650e-2,1.416877e-1
GLRX5,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.6783,3.710175e-1,5.434094e-1
FDX1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,7.0543,4.534322e-3,1.839096e-2
NFS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.4003,6.957440e-4,4.203453e-3
ISCU,"mitochondrial protein, org=Homo sapiens",Mitochondrion,11.2296,6.783863e-6,1.192315e-4
FXN,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-3.6023,2.440044e-3,1.141311e-2
ABCB7,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.2009,2.580697e-1,4.376620e-1
MTCH2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.7262,1.626896e-2,5.271508e-2
SAMM50,"mitochondrial protein, org=Homo sapiens",Mitochondrion,28.9101,9.373667e-7,2.718363e-5
MTX1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,14.8704,7.443931e-5,7.403982e-4
MTX2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.0890,7.957664e-1,8.892957e-1
DNAJC11,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.8280,8.099121e-3,3.030639e-2
ATAD3A,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.8729,1.406835e-1,2.843082e-1
LETM1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.5142,3.553482e-5,4.385148e-4
STOML2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.9632,6.362882e-6,1.153272e-4
TRAP1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-1.6972,3.759058e-1,5.478025e-1
HTRA2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.8829,3.468973e-3,1.468616e-2
OMA1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,16.9668,1.219463e-4,1.074401e-3
PARL,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.6499,4.833837e-3,1.933535e-2
SLC25A1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,-1.3127,3.055615e-1,4.802863e-1
ACSF2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,14.1294,1.236830e-5,1.938814e-4
ALDH2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,9.1407,1.740860e-2,5.547795e-2
ALDH4A1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.1188,8.001111e-1,8.915729e-1
AK2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.9219,2.172685e-2,6.563320e-2
ACAT1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.1777,1.913576e-1,3.557289e-1
ECHS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,17.1952,1.722708e-5,2.629396e-4
ECI1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,5.1371,6.360020e-4,4.053639e-3
MCEE,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.2615,7.274739e-1,8.371723e-1
MUT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,6.6781,1.088050e-2,3.895487e-2
PCCA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,8.6543,4.353899e-4,3.006264e-3
PCCB,"mitochondrial protein, org=Homo sapiens",Mitochondrion,12.2101,5.883996e-4,3.834514e-3
IVD,"mitochondrial protein, org=Homo sapiens",Mitochondrion,7.3401,1.625929e-4,1.328224e-3
GCDH,"mitochondrial protein, org=Homo sapiens",Mitochondrion,12.2111,2.050450e-3,9.910506e-3
DBT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,13.4874,1.386062e-3,7.242488e-3
BCKDHA,"mitochondrial protein, org=Homo sapiens",Mitochondrion,12.9287,4.630619e-3,1.865110e-2
SHMT2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,3.0273,2.795588e-2,8.026935e-2
MTHFD2,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.1722,3.538189e-1,5.324151e-1
ALDH18A1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,17.7838,1.808783e-6,4.554080e-5
PYCR1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,1.7630,3.042912e-1,4.802863e-1
OAT,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.2529,1.969746e-1,3.638385e-1
CPS1,"mitochondrial protein, org=Homo sapiens",Mitochondrion,4.5782,3.346971e-3,1.427385e-2
OTC,"mitochondrial protein, org=Homo sapiens",Mitochondrion,2.6601,2.535243e-3,1.172731e-2
CNTROB,"centrosomal protein, org=Homo sapiens",Centrosome,4.7428,1.555213e-3,7.912487e-3
CEP135,"centrosomal protein, org=Homo sapiens",Centrosome,72.0240,3.351321e-9,4.859415e-7
CEP152,"centrosomal protein, org=Homo sapiens",Centrosome,3.9504,4.319617e-2,1.138808e-1
CEP192,"centrosomal protein, org=Homo sapiens",Centrosome,2.6503,1.501794e-2,4.921134e-2
CEP250,"centrosomal protein, org=Homo sapiens",Centrosome,2.0403,3.654010e-1,5.433323e-1
CEP290,"centrosomal protein, org=Homo sapiens",Centrosome,2.0738,1.964694e-1,3.638385e-1
CEP97,"centrosomal protein, org=Homo sapiens",Centrosome,9.0194,5.874608e-7,2.004278e-5
PCNT,"centrosomal protein, org=Homo sapiens",Centrosome,2.1710,2.976105e-1,4.755208e-1
CETN2,"centrosomal protein, org=Homo sapiens",Centrosome,-2.2383,3.194946e-2,9.039359e-2
CETN3,"centrosomal protein, org=Homo sapiens",Centrosome,4.7687,2.885627e-2,8.244649e-2
SASS6,"centrosomal protein, org=Homo sapiens",Centrosome,11.6834,5.010961e-5,5.582696e-4
PLK4,"centrosomal protein, org=Homo sapiens",Centrosome,14.3918,4.527241e-4,3.053256e-3
STIL,"centrosomal protein, org=Homo sapiens",Centrosome,3.7285,2.894461e-3,1.271809e-2
TUBG1,"centrosomal protein, org=Homo sapiens",Centrosome,7.2992,7.589165e-5,7.403982e-4
TUBGCP2,"centrosomal protein, org=Homo sapiens",Centrosome,4.2908,1.216559e-2,4.175174e-2
TUBGCP3,"centrosomal protein, org=Homo sapiens",Centrosome,5.0285,1.341195e-4,1.143961e-3
NEDD1,"centrosomal protein, org=Homo sapiens",Centrosome,1.3405,3.279354e-1,5.085629e-1
ODF2,"centrosomal protein, org=Homo sapiens",Centrosome,11.6207,8.545472e-4,4.951247e-3
NIN,"centrosomal protein, org=Homo sapiens",Centrosome,-1.1169,7.494941e-1,8.525984e-1
AKAP9,"centrosomal protein, org=Homo sapiens",Centrosome,13.1628,3.135165e-4,2.240350e-3
CDK5RAP2,"centrosomal protein, org=Homo sapiens",Centrosome,3.0671,9.946773e-4,5.547239e-3
CCP110,"centrosomal protein, org=Homo sapiens",Centrosome,1.5410,6.544845e-2,1.594962e-1
CEP120,"centrosomal protein, org=Homo sapiens",Centrosome,-1.0541,8.931750e-1,9.367839e-1
CEP164,"centrosomal protein, org=Homo sapiens",Centrosome,2.4809,7.687473e-2,1.776388e-1
CEP170,"centrosomal protein, org=Homo sapiens",Centrosome,69.6779,1.583527e-9,3.061485e-7
CEP215,"centrosomal protein, org=Homo sapiens",Centrosome,5.6444,8.124794e-4,4.759980e-3
POC1A,"centrosomal protein, org=Homo sapiens",Centrosome,7.7437,9.358854e-7,2.718363e-5
POC5,"centrosomal protein, org=Homo sapiens",Centrosome,7.4399,1.514453e-3,7.825862e-3
SFI1,"centrosomal protein, org=Homo sapiens",Centrosome,2.0140,3.662595e-1,5.433323e-1
ROOT,"centrosomal protein, org=Homo sapiens",Centrosome,1.2187,5.778692e-1,7.149686e-1
LAMP1,"lysosomal protein, org=Homo sapiens",Lysosome,1.9651,3.525966e-1,5.324151e-1
LAMP2,"lysosomal protein, org=Homo sapiens",Lysosome,1.0001,9.998634e-1,9.998634e-1
CTSB,"lysosomal protein, org=Homo sapiens",Lysosome,2.0355,1.427203e-2,4.730158e-2
CTSD,"lysosomal protein, org=Homo sapiens",Lysosome,6.3277,6.667511e-3,2.561031e-2
CTSL,"lysosomal protein, org=Homo sapiens",Lysosome,3.1244,1.214831e-1,2.525455e-1
CTSZ,"lysosomal protein, org=Homo sapiens",Lysosome,6.0333,2.621717e-4,1.949482e-3
CTSA,"lysosomal protein, org=Homo sapiens",Lysosome,1.0798,8.035974e-1,8.915729e-1
GBA1,"lysosomal protein, org=Homo sapiens",Lysosome,1.4216,3.034809e-1,4.802863e-1
GLA,"lysosomal protein, org=Homo sapiens",Lysosome,-1.6450,2.842649e-1,4.631283e-1
HEXA,"lysosomal protein, org=Homo sapiens",Lysosome,9.1570,5.997175e-5,6.441410e-4
HEXB,"lysosomal protein, org=Homo sapiens",Lysosome,-1.0116,9.847478e-1,9.933108e-1
NPC1,"lysosomal protein, org=Homo sapiens",Lysosome,1.3091,5.148016e-1,6.737552e-1
NPC2,"lysosomal protein, org=Homo sapiens",Lysosome,-1.2425,4.125623e-1,5.893747e-1
TPP1,"lysosomal protein, org=Homo sapiens",Lysosome,5.6343,2.179663e-4,1.663427e-3
PSAP,"lysosomal protein, org=Homo sapiens",Lysosome,3.1660,1.072748e-4,1.003539e-3
GNS,"lysosomal protein, org=Homo sapiens",Lysosome,1.6530,8.236848e-2,1.844545e-1
GUSB,"lysosomal protein, org=Homo sapiens",Lysosome,2.1947,6.722754e-2,1.624665e-1
MAN2B1,"lysosomal protein, org=Homo sapiens",Lysosome,2.6679,4.258309e-3,1.751645e-2
NAGLU,"lysosomal protein, org=Homo sapiens",Lysosome,1.4010,5.460356e-1,7.037422e-1
ASAH1,"lysosomal protein, org=Homo sapiens",Lysosome,2.4195,3.740004e-2,1.008931e-1
SCARB2,"lysosomal protein, org=Homo sapiens",Lysosome,2.0285,7.025971e-2,1.690898e-1
ATP6V1A,"lysosomal protein, org=Homo sapiens",Lysosome,-1.2107,5.560903e-1,7.074117e-1
ATP6V1B2,"lysosomal protein, org=Homo sapiens",Lysosome,2.5116,3.426774e-2,9.601589e-2
ATP6V0D1,"lysosomal protein, org=Homo sapiens",Lysosome,-1.3049,4.737272e-1,6.377925e-1
ATP6V1E1,"lysosomal protein, org=Homo sapiens",Lysosome,1.0613,8.039528e-1,8.915729e-1
MCOLN1,"lysosomal protein, org=Homo sapiens",Lysosome,5.0198,2.960236e-3,1.290930e-2
LAMTOR1,"lysosomal protein, org=Homo sapiens",Lysosome,-1.3298,5.270333e-1,6.853796e-1
LAMTOR2,"lysosomal protein, org=Homo sapiens",Lysosome,1.1716,5.416729e-1,6.997111e-1
GRN,"lysosomal protein, org=Homo sapiens",Lysosome,2.0257,2.299241e-1,4.053373e-1
SGSH,"lysosomal protein, org=Homo sapiens",Lysosome,1.3206,2.431004e-1,4.208903e-1
RPL3,"ribosomal protein, org=Homo sapiens",Ribosome,-1.2677,5.221495e-1,6.805544e-1
RPL4,"ribosomal protein, org=Homo sapiens",Ribosome,-2.0428,1.085098e-1,2.288569e-1
RPL5,"ribosomal protein, org=Homo sapiens",Ribosome,1.5379,5.411032e-1,6.997111e-1
RPL6,"ribosomal protein, org=Homo sapiens",Ribosome,-3.5078,1.283105e-2,4.352052e-2
RPL7,"ribosomal protein, org=Homo sapiens",Ribosome,-2.6108,7.199797e-2,1.711427e-1
RPL7A,"ribosomal protein, org=Homo sapiens",Ribosome,-8.2684,1.345493e-2,4.510902e-2
RPL8,"ribosomal protein, org=Homo sapiens",Ribosome,-12.2637,2.389288e-5,3.306822e-4
RPL9,"ribosomal protein, org=Homo sapiens",Ribosome,-4.5289,2.502549e-2,7.367909e-2
RPL10,"ribosomal protein, org=Homo sapiens",Ribosome,-2.2714,2.687270e-2,7.871801e-2
RPL10A,"ribosomal protein, org=Homo sapiens",Ribosome,-11.8321,1.597902e-3,7.973135e-3
RPL11,"ribosomal protein, org=Homo sapiens",Ribosome,-1.8813,1.451814e-1,2.893649e-1
RPL12,"ribosomal protein, org=Homo sapiens",Ribosome,-5.9083,4.959500e-4,3.268761e-3
RPL13,"ribosomal protein, org=Homo sapiens",Ribosome,-16.7352,9.508403e-6,1.622022e-4
RPL13A,"ribosomal protein, org=Homo sapiens",Ribosome,-1.5555,2.872998e-1,4.643336e-1
RPL14,"ribosomal protein, org=Homo sapiens",Ribosome,-5.4906,3.167391e-4,2.240350e-3
RPL15,"ribosomal protein, org=Homo sapiens",Ribosome,-2.3360,1.450755e-2,4.780896e-2
RPL17,"ribosomal protein, org=Homo sapiens",Ribosome,-1.9562,2.128693e-1,3.856972e-1
RPL18,"ribosomal protein, org=Homo sapiens",Ribosome,-8.3871,2.076362e-2,6.305183e-2
RPL19,"ribosomal protein, org=Homo sapiens",Ribosome,-1.6235,3.700234e-1,5.433323e-1
RPL21,"ribosomal protein, org=Homo sapiens",Ribosome,1.2257,6.680567e-1,7.907610e-1
RPL23,"ribosomal protein, org=Homo sapiens",Ribosome,-8.3776,3.186593e-5,4.020928e-4
RPL23A,"ribosomal protein, org=Homo sapiens",Ribosome,1.4384,4.777656e-1,6.392486e-1
RPL24,"ribosomal protein, org=Homo sapiens",Ribosome,-4.4771,4.486922e-2,1.172259e-1
RPL26,"ribosomal protein, org=Homo sapiens",Ribosome,1.0818,8.207027e-1,8.947511e-1
RPL27,"ribosomal protein, org=Homo sapiens",Ribosome,-2.3350,9.055451e-3,3.324153e-2
RPL27A,"ribosomal protein, org=Homo sapiens",Ribosome,-2.9936,1.431643e-1,2.873194e-1
RPL28,"ribosomal protein, org=Homo sapiens",Ribosome,-1.4354,2.606591e-1,4.394834e-1
RPL30,"ribosomal protein, org=Homo sapiens",Ribosome,-1.9192,6.223461e-2,1.529495e-1
RPL31,"ribosomal protein, org=Homo sapiens",Ribosome,-7.6019,6.250014e-6,1.153272e-4
RPL32,"ribosomal protein, org=Homo sapiens",Ribosome,-2.3604,2.050966e-1,3.764432e-1
RPL34,"ribosomal protein, org=Homo sapiens",Ribosome,-3.4651,3.688171e-3,1.550101e-2
RPL35,"ribosomal protein, org=Homo sapiens",Ribosome,-9.8303,1.781886e-4,1.415745e-3
RPL36,"ribosomal protein, org=Homo sapiens",Ribosome,-1.0248,9.526537e-1,9.686790e-1
RPL37A,"ribosomal protein, org=Homo sapiens",Ribosome,-4.7139,7.559303e-4,4.473873e-3
RPLP0,"ribosomal protein, org=Homo sapiens",Ribosome,-4.2559,4.186302e-2,1.108701e-1
RPLP1,"ribosomal protein, org=Homo sapiens",Ribosome,-2.0548,8.861343e-2,1.954212e-1
RPLP2,"ribosomal protein, org=Homo sapiens",Ribosome,-4.9591,3.640899e-2,9.867857e-2
RPS2,"ribosomal protein, org=Homo sapiens",Ribosome,-3.0464,6.140832e-2,1.522086e-1
RPS3,"ribosomal protein, org=Homo sapiens",Ribosome,-25.4670,3.766947e-8,2.427588e-6
RPS3A,"ribosomal protein, org=Homo sapiens",Ribosome,-3.0499,5.331341e-2,1.356218e-1
RPS4X,"ribosomal protein, org=Homo sapiens",Ribosome,-3.0429,2.440025e-1,4.211948e-1
RPS5,"ribosomal protein, org=Homo sapiens",Ribosome,-2.0088,1.225634e-2,4.181573e-2
RPS6,"ribosomal protein, org=Homo sapiens",Ribosome,1.0733,8.813559e-1,9.311228e-1
RPS7,"ribosomal protein, org=Homo sapiens",Ribosome,-4.7867,1.222594e-4,1.074401e-3
RPS8,"ribosomal protein, org=Homo sapiens",Ribosome,-1.1943,7.510585e-1,8.525984e-1
RPS9,"ribosomal protein, org=Homo sapiens",Ribosome,-2.4014,2.752166e-2,8.021389e-2
RPS10,"ribosomal protein, org=Homo sapiens",Ribosome,-5.5160,4.435190e-6,8.574701e-5
RPS11,"ribosomal protein, org=Homo sapiens",Ribosome,-2.2610,1.193888e-1,2.499838e-1
RPS12,"ribosomal protein, org=Homo sapiens",Ribosome,-1.1179,8.316043e-1,9.032109e-1
RPS13,"ribosomal protein, org=Homo sapiens",Ribosome,-1.4057,4.739458e-1,6.377925e-1
RPS14,"ribosomal protein, org=Homo sapiens",Ribosome,1.1716,5.575535e-1,7.076172e-1
RPS15,"ribosomal protein, org=Homo sapiens",Ribosome,-10.9735,2.755792e-5,3.647732e-4
RPS15A,"ribosomal protein, org=Homo sapiens",Ribosome,-4.0000,1.102774e-4,1.015252e-3
RPS16,"ribosomal protein, org=Homo sapiens",Ribosome,-4.1524,1.887936e-3,9.201705e-3
RPS17,"ribosomal protein, org=Homo sapiens",Ribosome,-6.4434,8.806471e-3,3.253346e-2
